Date,Sales
01/01/2021,12800
02/01/2021,24858
03/01/2021,17771
04/01/2021,26472
05/01/2021,21621
06/01/2021,17386
07/01/2021,14980
08/01/2021,29603
09/01/2021,28621
10/01/2021,19023
11/01/2021,0
12/01/2021,18215
13/01/2021,10359
14/01/2021,20252
15/01/2021,20353
16/01/2021,32438
17/01/2021,15207
18/01/2021,8568
19/01/2021,17784
20/01/2021,10371
21/01/2021,20778
22/01/2021,16641
23/01/2021,33043
24/01/2021,20345
25/01/2021,11383
26/01/2021,21417
27/01/2021,14708
28/01/2021,17941
29/01/2021,23079
30/01/2021,26711
31/01/2021,16790
01/02/2021,22519
02/02/2021,13696
03/02/2021,14377
04/02/2021,16528
05/02/2021,20563
06/02/2021,28195
07/02/2021,17133
08/02/2021,22270
09/02/2021,15200
10/02/2021,14880
11/02/2021,15990
12/02/2021,17889
13/02/2021,33520
14/02/2021,42526
15/02/2021,24784
16/02/2021,22186
17/02/2021,15221
18/02/2021,21316
19/02/2021,22340
20/02/2021,25736
21/02/2021,13944
22/02/2021,18210
23/02/2021,16876
24/02/2021,12262
25/02/2021,16761
26/02/2021,28314
27/02/2021,26609
28/02/2021,14020
01/03/2021,20776
02/03/2021,13651
03/03/2021,16919
04/03/2021,20925
05/03/2021,22697
06/03/2021,27119
07/03/2021,7943
08/03/2021,23229
09/03/2021,14291
10/03/2021,18228
11/03/2021,14158
12/03/2021,25794
13/03/2021,31908
14/03/2021,10295
15/03/2021,8986
16/03/2021,9358
17/03/2021,15733
18/03/2021,20640
19/03/2021,18530
20/03/2021,33394
21/03/2021,17566
22/03/2021,14144
23/03/2021,15155
24/03/2021,11389
25/03/2021,24251
26/03/2021,15695
27/03/2021,29319
28/03/2021,12563
29/03/2021,16685
30/03/2021,12368
31/03/2021,17153
01/04/2021,27431
02/04/2021,25493
03/04/2021,25037
04/04/2021,15384
05/04/2021,14485
06/04/2021,12731
07/04/2021,10354
08/04/2021,10089
09/04/2021,14889
10/04/2021,12518
11/04/2021,4382
12/04/2021,8636
13/04/2021,18701
14/04/2021,32229
15/04/2021,19525
16/04/2021,15720
17/04/2021,21196
18/04/2021,10817
19/04/2021,17864
20/04/2021,13362
21/04/2021,9708
22/04/2021,14014
23/04/2021,15481
24/04/2021,33746
25/04/2021,10938
26/04/2021,13242
27/04/2021,18305
28/04/2021,12217
29/04/2021,17099
30/04/2021,27620
01/05/2021,28992
02/05/2021,10530
03/05/2021,12796
04/05/2021,13758
05/05/2021,15680
06/05/2021,15288
07/05/2021,21459
08/05/2021,44398
09/05/2021,37728
10/05/2021,10480
11/05/2021,18306
12/05/2021,8925
13/05/2021,18106
14/05/2021,17803
15/05/2021,37606
16/05/2021,17751
17/05/2021,16779
18/05/2021,20196
19/05/2021,11349
20/05/2021,17278
21/05/2021,16288
22/05/2021,13847
23/05/2021,8912
24/05/2021,15778
25/05/2021,5908
26/05/2021,6745
27/05/2021,21471
28/05/2021,23382
29/05/2021,22527
30/05/2021,15472
31/05/2021,10908
01/06/2021,17158
02/06/2021,16623
03/06/2021,20149
04/06/2021,8085
05/06/2021,16292
06/06/2021,13921
07/06/2021,13095
08/06/2021,6595
09/06/2021,20667
10/06/2021,21971
11/06/2021,12215
12/06/2021,22868
13/06/2021,10552
14/06/2021,8940
15/06/2021,9975
16/06/2021,13118
