Week,Date,Sales
0,03/01/2021,55429
1,10/01/2021,157706
2,17/01/2021,116824
3,24/01/2021,127530
4,31/01/2021,132029
5,07/02/2021,133011
6,14/02/2021,162275
7,21/02/2021,145527
8,28/02/2021,133052
9,07/03/2021,130030
10,14/03/2021,137903
11,21/03/2021,124207
12,28/03/2021,122516
13,04/04/2021,139551
14,11/04/2021,79448
15,18/04/2021,126824
16,25/04/2021,115113
17,02/05/2021,128005
18,09/05/2021,161107
19,16/05/2021,128977
20,23/05/2021,104649
21,30/05/2021,111283
22,06/06/2021,103136
23,13/06/2021,107963
24,20/06/2021,94836
25,27/06/2021,83117
26,04/07/2021,89471
27,11/07/2021,104756
28,18/07/2021,90704
29,25/07/2021,91058
30,01/08/2021,75477
31,08/08/2021,89252
32,15/08/2021,92634
33,22/08/2021,97855
34,29/08/2021,94909
35,05/09/2021,110117
36,12/09/2021,87651
37,19/09/2021,98927
38,26/09/2021,104527
39,03/10/2021,112127
40,10/10/2021,89228
41,17/10/2021,124488
42,24/10/2021,98532
43,31/10/2021,111019
44,07/11/2021,77652
45,14/11/2021,111386
46,21/11/2021,114068
47,28/11/2021,132263
48,05/12/2021,172634
49,12/12/2021,139925
50,19/12/2021,200584
51,26/12/2021,113835
52,02/01/2022,177560
53,09/01/2022,158038
54,16/01/2022,91431
55,23/01/2022,120613
56,30/01/2022,110579
57,06/02/2022,119099
58,13/02/2022,155476
59,20/02/2022,170770
60,27/02/2022,138240
61,06/03/2022,147624
62,13/03/2022,148494
63,20/03/2022,151690
64,27/03/2022,135185
65,03/04/2022,163717
66,10/04/2022,195543
67,17/04/2022,132653
68,24/04/2022,263372
69,01/05/2022,276073
70,08/05/2022,206733
71,15/05/2022,272413
72,22/05/2022,176711
73,29/05/2022,169243
74,05/06/2022,153961
75,12/06/2022,165396
76,19/06/2022,170163
77,26/06/2022,164953
78,03/07/2022,122264
79,10/07/2022,141516
80,17/07/2022,104862
81,24/07/2022,98781
82,31/07/2022,89513
83,07/08/2022,141352
84,14/08/2022,106591
85,21/08/2022,73696
86,28/08/2022,72632
87,04/09/2022,117039
88,11/09/2022,187742
89,18/09/2022,120102
90,25/09/2022,105105
91,02/10/2022,140249
92,09/10/2022,126130
93,16/10/2022,148427
94,23/10/2022,150847
95,30/10/2022,177193
96,06/11/2022,179089
97,13/11/2022,91790
98,20/11/2022,110323
99,27/11/2022,134411
100,04/12/2022,118205
101,11/12/2022,119977
102,18/12/2022,145669
103,25/12/2022,152917
104,01/01/2023,149007
